term,synonyms,meronyms,holonyms,hypernyms [L1],hypernyms [L2],hypernyms [L3],hyponyms [L1],hyponyms [L2],hyponyms [L3]
Synset('software.n.01'),[Synset('software.n.01')],[],[],[Synset('code.n.03')],"[Synset('code.n.03'), Synset('coding_system.n.01')]","[Synset('code.n.03'), Synset('coding_system.n.01'), Synset('writing.n.04')]",[Synset('alpha_software.n.01')],"[Synset('alpha_software.n.01'), Synset('authoring_language.n.01'), Synset('beta_software.n.01'), Synset('compatible_software.n.01'), Synset('compatible_software.n.02'), Synset('computer-aided_design.n.01'), Synset('database_management_system.n.01'), Synset('freeware.n.01'), Synset('groupware.n.01'), Synset('operating_system.n.01'), Synset('program.n.07'), Synset('routine.n.03'), Synset('shareware.n.01'), Synset('shrink-wrapped_software.n.01'), Synset('software_documentation.n.01'), Synset('spyware.n.01'), Synset('supervisory_software.n.01'), Synset('upgrade.n.02'), Synset('object-oriented_database_management_system.n.01'), Synset('relational_database_management_system.n.01'), Synset('dos.n.02'), Synset('unix.n.01'), Synset('windows.n.01'), Synset('anti-virus_program.n.01'), Synset('application.n.04'), Synset('assembler.n.01'), Synset('binary.n.02'), Synset('c_program.n.01'), Synset('checking_program.n.01'), Synset('compiler.n.02'), Synset('debugger.n.01'), Synset('fortran_program.n.01'), Synset('interface.n.02'), Synset('interpreter.n.04'), Synset('job_control.n.01'), Synset('library_program.n.01'), Synset('lisp_program.n.01'), Synset('loop.n.06'), Synset('malevolent_program.n.01'), Synset('monitor_program.n.01'), Synset('object_program.n.01'), Synset('parser.n.01'), Synset('patch.n.05'), Synset('relocatable_program.n.01'), Synset('reusable_program.n.01'), Synset('search_engine.n.01'), Synset('self-adapting_program.n.01'), Synset('source_program.n.01'), Synset('spider.n.02'), Synset('spreadsheet.n.01'), Synset('stored_program.n.01'), Synset('supervisory_program.n.01'), Synset('syntax_checker.n.01'), Synset('system_program.n.01'), Synset('tagger.n.03'), Synset('text-matching.n.01'), Synset('translator.n.03'), Synset('utility_program.n.01'), Synset('web_map_service.n.01'), Synset('cataloged_procedure.n.01'), Synset('contingency_procedure.n.01'), Synset('library_routine.n.01'), Synset('random_number_generator.n.01'), Synset('recursive_routine.n.01'), Synset('reusable_routine.n.01'), Synset('supervisory_routine.n.01'), Synset('tracing_routine.n.01'), Synset('utility_routine.n.01')]","[Synset('alpha_software.n.01'), Synset('authoring_language.n.01'), Synset('beta_software.n.01'), Synset('compatible_software.n.01'), Synset('compatible_software.n.02'), Synset('computer-aided_design.n.01'), Synset('database_management_system.n.01'), Synset('freeware.n.01'), Synset('groupware.n.01'), Synset('operating_system.n.01'), Synset('program.n.07'), Synset('routine.n.03'), Synset('shareware.n.01'), Synset('shrink-wrapped_software.n.01'), Synset('software_documentation.n.01'), Synset('spyware.n.01'), Synset('supervisory_software.n.01'), Synset('upgrade.n.02'), Synset('object-oriented_database_management_system.n.01'), Synset('relational_database_management_system.n.01'), Synset('dos.n.02'), Synset('unix.n.01'), Synset('windows.n.01'), Synset('anti-virus_program.n.01'), Synset('application.n.04'), Synset('assembler.n.01'), Synset('binary.n.02'), Synset('c_program.n.01'), Synset('checking_program.n.01'), Synset('compiler.n.02'), Synset('debugger.n.01'), Synset('fortran_program.n.01'), Synset('interface.n.02'), Synset('interpreter.n.04'), Synset('job_control.n.01'), Synset('library_program.n.01'), Synset('lisp_program.n.01'), Synset('loop.n.06'), Synset('malevolent_program.n.01'), Synset('monitor_program.n.01'), Synset('object_program.n.01'), Synset('parser.n.01'), Synset('patch.n.05'), Synset('relocatable_program.n.01'), Synset('reusable_program.n.01'), Synset('search_engine.n.01'), Synset('self-adapting_program.n.01'), Synset('source_program.n.01'), Synset('spider.n.02'), Synset('spreadsheet.n.01'), Synset('stored_program.n.01'), Synset('supervisory_program.n.01'), Synset('syntax_checker.n.01'), Synset('system_program.n.01'), Synset('tagger.n.03'), Synset('text-matching.n.01'), Synset('translator.n.03'), Synset('utility_program.n.01'), Synset('web_map_service.n.01'), Synset('cataloged_procedure.n.01'), Synset('contingency_procedure.n.01'), Synset('library_routine.n.01'), Synset('random_number_generator.n.01'), Synset('recursive_routine.n.01'), Synset('reusable_routine.n.01'), Synset('supervisory_routine.n.01'), Synset('tracing_routine.n.01'), Synset('utility_routine.n.01'), Synset('hypertext_system.n.01'), Synset('active_application.n.01'), Synset('applet.n.01'), Synset('browser.n.02'), Synset('editor_program.n.01'), Synset('frame.n.06'), Synset('job.n.11'), Synset('natural_language_processor.n.01'), Synset('word_processor.n.01'), Synset('c_compiler.n.01'), Synset('fortran_compiler.n.01'), Synset('lisp_compiler.n.01'), Synset('pascal_compiler.n.01'), Synset('command_line_interface.n.01'), Synset('graphical_user_interface.n.01'), Synset('logic_bomb.n.01'), Synset('trojan.n.02'), Synset('virus.n.03'), Synset('worm.n.03'), Synset('part-of-speech_tagger.n.01'), Synset('sense_tagger.n.01'), Synset('diagnostic_program.n.01'), Synset('driver.n.04'), Synset('input_program.n.01'), Synset('output_program.n.01'), Synset('sort_program.n.01'), Synset('trace_program.n.01'), Synset('dump_routine.n.01'), Synset('input_routine.n.01'), Synset('output_routine.n.01')]"
Synset('vulnerability.n.01'),"[Synset('vulnerability.n.01'), Synset('vulnerability.n.02')]",[],[],[Synset('danger.n.01')],"[Synset('danger.n.01'), Synset('condition.n.01')]","[Synset('danger.n.01'), Synset('condition.n.01'), Synset('state.n.02')]",[],[],[]
Synset('exploitation.n.01'),"[Synset('exploitation.n.01'), Synset('exploitation.n.02')]",[],[],[Synset('use.n.01')],"[Synset('use.n.01'), Synset('activity.n.01')]","[Synset('use.n.01'), Synset('activity.n.01'), Synset('act.n.02')]",[Synset('capitalization.n.03')],"[Synset('capitalization.n.03'), Synset('commercialization.n.01'), Synset('electrification.n.02'), Synset('land_development.n.01'), Synset('overexploitation.n.01'), Synset('unitization.n.04'), Synset('water_development.n.01')]","[Synset('capitalization.n.03'), Synset('commercialization.n.01'), Synset('electrification.n.02'), Synset('land_development.n.01'), Synset('overexploitation.n.01'), Synset('unitization.n.04'), Synset('water_development.n.01')]"
Synset('web.n.01'),"[Synset('web.n.01'), Synset('web.n.02'), Synset('vane.n.04')]",[],[],[Synset('object.n.01')],"[Synset('object.n.01'), Synset('physical_entity.n.01')]","[Synset('object.n.01'), Synset('physical_entity.n.01'), Synset('entity.n.01')]",[Synset('spider_web.n.02')],"[Synset('spider_web.n.02'), Synset('tent.n.02'), Synset('webbing.n.01'), Synset('cobweb.n.03'), Synset('funnel_web.n.01'), Synset('orb_web.n.01'), Synset('sheet_web.n.01')]","[Synset('spider_web.n.02'), Synset('tent.n.02'), Synset('webbing.n.01'), Synset('cobweb.n.03'), Synset('funnel_web.n.01'), Synset('orb_web.n.01'), Synset('sheet_web.n.01')]"
Synset('application.n.01'),"[Synset('application.n.01'), Synset('application.n.02'), Synset('application.n.03')]",[],[],[Synset('use.n.01')],"[Synset('use.n.01'), Synset('activity.n.01')]","[Synset('use.n.01'), Synset('activity.n.01'), Synset('act.n.02')]",[Synset('misapplication.n.01')],"[Synset('misapplication.n.01'), Synset('technology.n.01'), Synset('aeronautical_engineering.n.02'), Synset('automotive_technology.n.01'), Synset('chemical_engineering.n.02'), Synset('communications_technology.n.01'), Synset('computer_technology.n.01'), Synset('high_technology.n.01'), Synset('rail_technology.n.01')]","[Synset('misapplication.n.01'), Synset('technology.n.01'), Synset('aeronautical_engineering.n.02'), Synset('automotive_technology.n.01'), Synset('chemical_engineering.n.02'), Synset('communications_technology.n.01'), Synset('computer_technology.n.01'), Synset('high_technology.n.01'), Synset('rail_technology.n.01'), Synset('digital_communications_technology.n.01'), Synset('automation.n.01'), Synset('magnetic_levitation.n.01')]"
Synset('vulnerability.n.01'),"[Synset('vulnerability.n.01'), Synset('vulnerability.n.02')]",[],[],[Synset('danger.n.01')],"[Synset('danger.n.01'), Synset('condition.n.01')]","[Synset('danger.n.01'), Synset('condition.n.01'), Synset('state.n.02')]",[],[],[]
