term,synonyms,meronyms,holonyms,hypernyms [L1],hypernyms [L2],hypernyms [L3],hyponyms [L1],hyponyms [L2],hyponyms [L3]
Synset('data.n.01'),"[Synset('data.n.01'), Synset('datum.n.01')]",[],[],[Synset('collection.n.01')],"[Synset('collection.n.01'), Synset('group.n.01')]","[Synset('collection.n.01'), Synset('group.n.01'), Synset('abstraction.n.06')]",[Synset('accounting_data.n.01')],"[Synset('accounting_data.n.01'), Synset('metadata.n.01'), Synset('raw_data.n.01')]","[Synset('accounting_data.n.01'), Synset('metadata.n.01'), Synset('raw_data.n.01')]"
Synset('collection.n.01'),"[Synset('collection.n.01'), Synset('collection.n.04')]",[],[],[Synset('group.n.01')],"[Synset('group.n.01'), Synset('abstraction.n.06')]","[Synset('group.n.01'), Synset('abstraction.n.06'), Synset('entity.n.01')]",[Synset('agglomeration.n.01')],"[Synset('agglomeration.n.01'), Synset('ana.n.02'), Synset('armamentarium.n.01'), Synset('art_collection.n.01'), Synset('asia.n.02'), Synset('assortment.n.01'), Synset('aviation.n.01'), Synset('backlog.n.01'), Synset('batch.n.01'), Synset('batch.n.03'), Synset('battery.n.03'), Synset('biota.n.01'), Synset('block.n.04'), Synset('book.n.06'), Synset('book.n.07'), Synset('bottle_collection.n.01'), Synset('bunch.n.03'), Synset('central_america.n.02'), Synset('class.n.01'), Synset('coin_collection.n.01'), Synset('collage.n.02'), Synset('combination.n.01'), Synset('congregation.n.02'), Synset('content.n.01'), Synset('convoy.n.02'), Synset('corpus.n.02'), Synset('crop.n.03'), Synset('data.n.01'), Synset('defense.n.07'), Synset('ensemble.n.04'), Synset('europe.n.03'), Synset('exhibition.n.02'), Synset('fauna.n.01'), Synset('findings.n.01'), Synset('flagging.n.01'), Synset('fleet.n.01'), Synset('fleet.n.02'), Synset('fleet.n.04'), Synset('flinders.n.02'), Synset('free_world.n.01'), Synset('galaxy.n.01'), Synset('galaxy.n.03'), Synset('generally_accepted_accounting_principles.n.01'), Synset('gimmickry.n.01'), Synset('hand.n.06'), Synset('herbarium.n.01'), Synset('hit_parade.n.01'), Synset('job_lot.n.01'), Synset('judaica.n.01'), Synset('kludge.n.01'), Synset('law.n.01'), Synset('library.n.02'), Synset('library.n.04'), Synset('long_suit.n.01'), Synset('mail.n.04'), Synset('mass.n.03'), Synset('menagerie.n.01'), Synset('mythology.n.01'), Synset('north_america.n.02'), Synset('nuclear_club.n.01'), Synset('oort_cloud.n.01'), Synset('pack.n.02'), Synset('package.n.01'), Synset('pantheon.n.01'), Synset('petting_zoo.n.01'), Synset('pharmacopoeia.n.01'), Synset('pile.n.01'), Synset('planting.n.02'), Synset('population.n.03'), Synset('procession.n.02'), Synset('prosecution.n.02'), Synset('repertoire.n.02'), Synset('repertory.n.02'), Synset('rogue's_gallery.n.02'), Synset('set.n.01'), Synset('signage.n.01'), Synset('smithereens.n.01'), Synset('south_america.n.02'), Synset('stamp_collection.n.01'), Synset('statuary.n.01'), Synset('string.n.09'), Synset('sum.n.03'), Synset('tenantry.n.01'), Synset('third_world.n.01'), Synset('traffic.n.01'), Synset('treasure.n.04'), Synset('treasure_trove.n.02'), Synset('trinketry.n.01'), Synset('troponymy.n.02'), Synset('vegetation.n.01'), Synset('victoriana.n.01'), Synset('wardrobe.n.02'), Synset('wardrobe.n.03'), Synset('ball.n.08'), Synset('bunch.n.01'), Synset('loan_collection.n.01'), Synset('alphabet_soup.n.01'), Synset('grab_bag.n.01'), Synset('odds_and_ends.n.01'), Synset('range.n.06'), Synset('sampler.n.03'), Synset('selection.n.02'), Synset('witches'_brew.n.01'), Synset('schmeer.n.01'), Synset('brass_family.n.01'), Synset('conjugation.n.04'), Synset('declension.n.04'), Synset('denomination.n.02'), Synset('grammatical_category.n.01'), Synset('histocompatibility_complex.n.01'), Synset('sex.n.02'), Synset('stamp.n.02'), Synset('substitution_class.n.01'), Synset('violin_family.n.01'), Synset('woodwind_family.n.01'), Synset('amalgam.n.02'), Synset('color_scheme.n.01'), Synset('complexion.n.02'), Synset('haplotype.n.01'), Synset('accounting_data.n.01'), Synset('metadata.n.01'), Synset('raw_data.n.01'), Synset('art_exhibition.n.01'), Synset('fair.n.03'), Synset('peepshow.n.01'), Synset('avifauna.n.01'), Synset('motor_pool.n.01'), Synset('armada.n.01'), Synset('battle_fleet.n.01'), Synset('flotilla.n.01'), Synset('flotilla.n.02'), Synset('wolf_pack.n.01'), Synset('great_attractor.n.01'), Synset('milky_way.n.01'), Synset('spiral_galaxy.n.01'), Synset('bridge_hand.n.01'), Synset('poker_hand.n.01'), Synset('administrative_law.n.01'), Synset('canon_law.n.01'), Synset('civil_law.n.01'), Synset('common_law.n.02'), Synset('international_law.n.01'), Synset('law_of_the_land.n.01'), Synset('martial_law.n.01'), Synset('mercantile_law.n.01'), Synset('military_law.n.01'), Synset('mosaic_law.n.01'), Synset('securities_law.n.01'), Synset('shariah.n.01'), Synset('statutory_law.n.01'), Synset('tax_law.n.01'), Synset('bibliotheca.n.01'), Synset('public_library.n.01'), Synset('rental_collection.n.01'), Synset('strong_suit.n.01'), Synset('fan_mail.n.01'), Synset('hate_mail.n.01'), Synset('mailing.n.01'), Synset('logjam.n.02'), Synset('shock.n.08'), Synset('classical_mythology.n.01'), Synset('norse_mythology.n.01'), Synset('disk_pack.n.01'), Synset('pack_of_cards.n.01'), Synset('wisp.n.03'), Synset('compost_heap.n.01'), Synset('dunghill.n.02'), Synset('pyre.n.01'), Synset('scrapheap.n.02'), Synset('shock.n.07'), Synset('slagheap.n.01'), Synset('stack.n.01'), Synset('stockpile.n.02'), Synset('woodpile.n.01'), Synset('subpopulation.n.01'), Synset('caravan.n.01'), Synset('cavalcade.n.01'), Synset('convoy.n.01'), Synset('cortege.n.01'), Synset('march.n.04'), Synset('motorcade.n.01'), Synset('parade.n.01'), Synset('recession.n.03'), Synset('bracket.n.01'), Synset('chess_set.n.01'), Synset('choir.n.02'), Synset('conjugation.n.03'), Synset('core.n.01'), Synset('dentition.n.02'), Synset('field.n.12'), Synset('field.n.13'), Synset('field.n.15'), Synset('intersection.n.04'), Synset('manicure_set.n.01'), Synset('octet.n.03'), Synset('pair.n.01'), Synset('portfolio.n.02'), Synset('quartet.n.03'), Synset('quintet.n.04'), Synset('score.n.04'), Synset('septet.n.03'), Synset('sextet.n.04'), Synset('singleton.n.02'), Synset('suite.n.04'), Synset('synset.n.01'), Synset('threescore.n.01'), Synset('trio.n.04'), Synset('union.n.08'), Synset('elgin_marbles.n.01'), Synset('beads.n.01'), Synset('aggregate.n.03'), Synset('air_traffic.n.01'), Synset('commuter_traffic.n.01'), Synset('pedestrian_traffic.n.01'), Synset('vehicular_traffic.n.01'), Synset('brier.n.01'), Synset('browse.n.01'), Synset('brush.n.01'), Synset('forest.n.01'), Synset('garden.n.02'), Synset('groundcover.n.01'), Synset('growth.n.04'), Synset('scrub.n.01'), Synset('shrubbery.n.02'), Synset('stand.n.03')]","[Synset('agglomeration.n.01'), Synset('ana.n.02'), Synset('armamentarium.n.01'), Synset('art_collection.n.01'), Synset('asia.n.02'), Synset('assortment.n.01'), Synset('aviation.n.01'), Synset('backlog.n.01'), Synset('batch.n.01'), Synset('batch.n.03'), Synset('battery.n.03'), Synset('biota.n.01'), Synset('block.n.04'), Synset('book.n.06'), Synset('book.n.07'), Synset('bottle_collection.n.01'), Synset('bunch.n.03'), Synset('central_america.n.02'), Synset('class.n.01'), Synset('coin_collection.n.01'), Synset('collage.n.02'), Synset('combination.n.01'), Synset('congregation.n.02'), Synset('content.n.01'), Synset('convoy.n.02'), Synset('corpus.n.02'), Synset('crop.n.03'), Synset('data.n.01'), Synset('defense.n.07'), Synset('ensemble.n.04'), Synset('europe.n.03'), Synset('exhibition.n.02'), Synset('fauna.n.01'), Synset('findings.n.01'), Synset('flagging.n.01'), Synset('fleet.n.01'), Synset('fleet.n.02'), Synset('fleet.n.04'), Synset('flinders.n.02'), Synset('free_world.n.01'), Synset('galaxy.n.01'), Synset('galaxy.n.03'), Synset('generally_accepted_accounting_principles.n.01'), Synset('gimmickry.n.01'), Synset('hand.n.06'), Synset('herbarium.n.01'), Synset('hit_parade.n.01'), Synset('job_lot.n.01'), Synset('judaica.n.01'), Synset('kludge.n.01'), Synset('law.n.01'), Synset('library.n.02'), Synset('library.n.04'), Synset('long_suit.n.01'), Synset('mail.n.04'), Synset('mass.n.03'), Synset('menagerie.n.01'), Synset('mythology.n.01'), Synset('north_america.n.02'), Synset('nuclear_club.n.01'), Synset('oort_cloud.n.01'), Synset('pack.n.02'), Synset('package.n.01'), Synset('pantheon.n.01'), Synset('petting_zoo.n.01'), Synset('pharmacopoeia.n.01'), Synset('pile.n.01'), Synset('planting.n.02'), Synset('population.n.03'), Synset('procession.n.02'), Synset('prosecution.n.02'), Synset('repertoire.n.02'), Synset('repertory.n.02'), Synset('rogue's_gallery.n.02'), Synset('set.n.01'), Synset('signage.n.01'), Synset('smithereens.n.01'), Synset('south_america.n.02'), Synset('stamp_collection.n.01'), Synset('statuary.n.01'), Synset('string.n.09'), Synset('sum.n.03'), Synset('tenantry.n.01'), Synset('third_world.n.01'), Synset('traffic.n.01'), Synset('treasure.n.04'), Synset('treasure_trove.n.02'), Synset('trinketry.n.01'), Synset('troponymy.n.02'), Synset('vegetation.n.01'), Synset('victoriana.n.01'), Synset('wardrobe.n.02'), Synset('wardrobe.n.03'), Synset('ball.n.08'), Synset('bunch.n.01'), Synset('loan_collection.n.01'), Synset('alphabet_soup.n.01'), Synset('grab_bag.n.01'), Synset('odds_and_ends.n.01'), Synset('range.n.06'), Synset('sampler.n.03'), Synset('selection.n.02'), Synset('witches'_brew.n.01'), Synset('schmeer.n.01'), Synset('brass_family.n.01'), Synset('conjugation.n.04'), Synset('declension.n.04'), Synset('denomination.n.02'), Synset('grammatical_category.n.01'), Synset('histocompatibility_complex.n.01'), Synset('sex.n.02'), Synset('stamp.n.02'), Synset('substitution_class.n.01'), Synset('violin_family.n.01'), Synset('woodwind_family.n.01'), Synset('amalgam.n.02'), Synset('color_scheme.n.01'), Synset('complexion.n.02'), Synset('haplotype.n.01'), Synset('accounting_data.n.01'), Synset('metadata.n.01'), Synset('raw_data.n.01'), Synset('art_exhibition.n.01'), Synset('fair.n.03'), Synset('peepshow.n.01'), Synset('avifauna.n.01'), Synset('motor_pool.n.01'), Synset('armada.n.01'), Synset('battle_fleet.n.01'), Synset('flotilla.n.01'), Synset('flotilla.n.02'), Synset('wolf_pack.n.01'), Synset('great_attractor.n.01'), Synset('milky_way.n.01'), Synset('spiral_galaxy.n.01'), Synset('bridge_hand.n.01'), Synset('poker_hand.n.01'), Synset('administrative_law.n.01'), Synset('canon_law.n.01'), Synset('civil_law.n.01'), Synset('common_law.n.02'), Synset('international_law.n.01'), Synset('law_of_the_land.n.01'), Synset('martial_law.n.01'), Synset('mercantile_law.n.01'), Synset('military_law.n.01'), Synset('mosaic_law.n.01'), Synset('securities_law.n.01'), Synset('shariah.n.01'), Synset('statutory_law.n.01'), Synset('tax_law.n.01'), Synset('bibliotheca.n.01'), Synset('public_library.n.01'), Synset('rental_collection.n.01'), Synset('strong_suit.n.01'), Synset('fan_mail.n.01'), Synset('hate_mail.n.01'), Synset('mailing.n.01'), Synset('logjam.n.02'), Synset('shock.n.08'), Synset('classical_mythology.n.01'), Synset('norse_mythology.n.01'), Synset('disk_pack.n.01'), Synset('pack_of_cards.n.01'), Synset('wisp.n.03'), Synset('compost_heap.n.01'), Synset('dunghill.n.02'), Synset('pyre.n.01'), Synset('scrapheap.n.02'), Synset('shock.n.07'), Synset('slagheap.n.01'), Synset('stack.n.01'), Synset('stockpile.n.02'), Synset('woodpile.n.01'), Synset('subpopulation.n.01'), Synset('caravan.n.01'), Synset('cavalcade.n.01'), Synset('convoy.n.01'), Synset('cortege.n.01'), Synset('march.n.04'), Synset('motorcade.n.01'), Synset('parade.n.01'), Synset('recession.n.03'), Synset('bracket.n.01'), Synset('chess_set.n.01'), Synset('choir.n.02'), Synset('conjugation.n.03'), Synset('core.n.01'), Synset('dentition.n.02'), Synset('field.n.12'), Synset('field.n.13'), Synset('field.n.15'), Synset('intersection.n.04'), Synset('manicure_set.n.01'), Synset('octet.n.03'), Synset('pair.n.01'), Synset('portfolio.n.02'), Synset('quartet.n.03'), Synset('quintet.n.04'), Synset('score.n.04'), Synset('septet.n.03'), Synset('sextet.n.04'), Synset('singleton.n.02'), Synset('suite.n.04'), Synset('synset.n.01'), Synset('threescore.n.01'), Synset('trio.n.04'), Synset('union.n.08'), Synset('elgin_marbles.n.01'), Synset('beads.n.01'), Synset('aggregate.n.03'), Synset('air_traffic.n.01'), Synset('commuter_traffic.n.01'), Synset('pedestrian_traffic.n.01'), Synset('vehicular_traffic.n.01'), Synset('brier.n.01'), Synset('browse.n.01'), Synset('brush.n.01'), Synset('forest.n.01'), Synset('garden.n.02'), Synset('groundcover.n.01'), Synset('growth.n.04'), Synset('scrub.n.01'), Synset('shrubbery.n.02'), Synset('stand.n.03'), Synset('clew.n.01'), Synset('clot.n.01'), Synset('gob.n.02'), Synset('knot.n.01'), Synset('swad.n.01'), Synset('tuft.n.01'), Synset('band.n.06'), Synset('case.n.11'), Synset('gender.n.01'), Synset('number.n.10'), Synset('part_of_speech.n.01'), Synset('person.n.03'), Synset('semantic_role.n.01'), Synset('tense.n.01'), Synset('retrospective.n.01'), Synset('andromeda_galaxy.n.01'), Synset('chicane.n.01'), Synset('flush.n.04'), Synset('full_house.n.01'), Synset('pair.n.04'), Synset('royal_flush.n.01'), Synset('straight.n.02'), Synset('straight_flush.n.01'), Synset('case_law.n.02'), Synset('legislation.n.01'), Synset('maritime_law.n.01'), Synset('hudud.n.01'), Synset('greek_mythology.n.01'), Synset('roman_mythology.n.01'), Synset('haystack.n.01'), Synset('hunger_march.n.01'), Synset('callithump.n.01'), Synset('income_bracket.n.01'), Synset('price_bracket.n.01'), Synset('cadre.n.02'), Synset('primary_dentition.n.01'), Synset('secondary_dentition.n.01'), Synset('bit_field.n.01'), Synset('tweedledum_and_tweedledee.n.01'), Synset('bedroom_suite.n.01'), Synset('diningroom_suite.n.01'), Synset('livingroom_suite.n.01'), Synset('trilogy.n.01'), Synset('triplicity.n.01'), Synset('direct_sum.n.01'), Synset('rosary.n.01'), Synset('wampum.n.02'), Synset('automobile_traffic.n.01'), Synset('bicycle_traffic.n.01'), Synset('bus_traffic.n.01'), Synset('truck_traffic.n.01'), Synset('brake.n.04'), Synset('canebrake.n.01'), Synset('spinney.n.01'), Synset('underbrush.n.01'), Synset('bosk.n.01'), Synset('grove.n.01'), Synset('jungle.n.03'), Synset('old_growth.n.01'), Synset('rain_forest.n.01'), Synset('second_growth.n.01'), Synset('baby's_tears.n.01'), Synset('pearlwort.n.01'), Synset('rupturewort.n.01'), Synset('whitlowwort.n.01')]"
Synset('profiling.n.01'),"[Synset('profiling.n.01'), Synset('profile.v.01'), Synset('profile.v.02')]",[],[],[Synset('identification.n.02')],"[Synset('identification.n.02'), Synset('evidence.n.02')]","[Synset('identification.n.02'), Synset('evidence.n.02'), Synset('indication.n.01')]",[],[],[]
Synset('driver.n.01'),"[Synset('driver.n.01'), Synset('driver.n.02'), Synset('driver.n.03')]",[],[],[Synset('operator.n.02')],"[Synset('operator.n.02'), Synset('causal_agent.n.01')]","[Synset('operator.n.02'), Synset('causal_agent.n.01'), Synset('physical_entity.n.01')]",[Synset('busman.n.01')],"[Synset('busman.n.01'), Synset('chauffeur.n.01'), Synset('designated_driver.n.01'), Synset('honker.n.01'), Synset('kerb_crawler.n.01'), Synset('motorist.n.01'), Synset('owner-driver.n.01'), Synset('racer.n.01'), Synset('road_hog.n.01'), Synset('speeder.n.01'), Synset('tailgater.n.01'), Synset('taxidriver.n.01'), Synset('teamster.n.02'), Synset('test_driver.n.01'), Synset('chauffeuse.n.01'), Synset('finisher.n.02')]","[Synset('busman.n.01'), Synset('chauffeur.n.01'), Synset('designated_driver.n.01'), Synset('honker.n.01'), Synset('kerb_crawler.n.01'), Synset('motorist.n.01'), Synset('owner-driver.n.01'), Synset('racer.n.01'), Synset('road_hog.n.01'), Synset('speeder.n.01'), Synset('tailgater.n.01'), Synset('taxidriver.n.01'), Synset('teamster.n.02'), Synset('test_driver.n.01'), Synset('chauffeuse.n.01'), Synset('finisher.n.02')]"
Synset('spying.n.01'),"[Synset('spying.n.01'), Synset('spying.n.02'), Synset('detection.n.02')]",[],[],[Synset('watch.n.03')],"[Synset('watch.n.03'), Synset('surveillance.n.01')]","[Synset('watch.n.03'), Synset('surveillance.n.01'), Synset('police_work.n.01')]",[],[],[]
Synset('trailing.n.01'),"[Synset('trailing.n.01'), Synset('track.v.01'), Synset('track.v.02')]",[],[],[Synset('pursuit.n.01')],"[Synset('pursuit.n.01'), Synset('motion.n.06')]","[Synset('pursuit.n.01'), Synset('motion.n.06'), Synset('change.n.03')]",[],[],[]
Synset('driver.n.01'),"[Synset('driver.n.01'), Synset('driver.n.02'), Synset('driver.n.03')]",[],[],[Synset('operator.n.02')],"[Synset('operator.n.02'), Synset('causal_agent.n.01')]","[Synset('operator.n.02'), Synset('causal_agent.n.01'), Synset('physical_entity.n.01')]",[Synset('busman.n.01')],"[Synset('busman.n.01'), Synset('chauffeur.n.01'), Synset('designated_driver.n.01'), Synset('honker.n.01'), Synset('kerb_crawler.n.01'), Synset('motorist.n.01'), Synset('owner-driver.n.01'), Synset('racer.n.01'), Synset('road_hog.n.01'), Synset('speeder.n.01'), Synset('tailgater.n.01'), Synset('taxidriver.n.01'), Synset('teamster.n.02'), Synset('test_driver.n.01'), Synset('chauffeuse.n.01'), Synset('finisher.n.02')]","[Synset('busman.n.01'), Synset('chauffeur.n.01'), Synset('designated_driver.n.01'), Synset('honker.n.01'), Synset('kerb_crawler.n.01'), Synset('motorist.n.01'), Synset('owner-driver.n.01'), Synset('racer.n.01'), Synset('road_hog.n.01'), Synset('speeder.n.01'), Synset('tailgater.n.01'), Synset('taxidriver.n.01'), Synset('teamster.n.02'), Synset('test_driver.n.01'), Synset('chauffeuse.n.01'), Synset('finisher.n.02')]"
