term,synonyms,meronyms,holonyms,hypernyms [L1],hypernyms [L2],hypernyms [L3],hyponyms [L1],hyponyms [L2],hyponyms [L3]
Synset('message.n.01'),"[Synset('message.n.01'), Synset('message.n.02'), Synset('message.v.01')]",[],[],[Synset('communication.n.02')],"[Synset('communication.n.02'), Synset('abstraction.n.06')]","[Synset('communication.n.02'), Synset('abstraction.n.06'), Synset('entity.n.01')]",[Synset('broadcast.n.01')],"[Synset('broadcast.n.01'), Synset('cipher.n.01'), Synset('dedication.n.04'), Synset('heliogram.n.01'), Synset('mail.n.01'), Synset('packet.n.02'), Synset('phone_message.n.01'), Synset('radiogram.n.01'), Synset('telegram.n.01'), Synset('newscast.n.01'), Synset('radio_broadcast.n.01'), Synset('rebroadcast.n.01'), Synset('simulcast.n.01'), Synset('telecast.n.01'), Synset('air_mail.n.01'), Synset('airmail.n.01'), Synset('bulk_mail.n.01'), Synset('express.n.01'), Synset('first_class.n.02'), Synset('parcel_post.n.01'), Synset('registered_mail.n.01'), Synset('special_delivery.n.01'), Synset('surface_mail.n.01'), Synset('third-class_mail.n.01'), Synset('cable.n.01'), Synset('letter_telegram.n.01'), Synset('night_letter.n.01')]","[Synset('broadcast.n.01'), Synset('cipher.n.01'), Synset('dedication.n.04'), Synset('heliogram.n.01'), Synset('mail.n.01'), Synset('packet.n.02'), Synset('phone_message.n.01'), Synset('radiogram.n.01'), Synset('telegram.n.01'), Synset('newscast.n.01'), Synset('radio_broadcast.n.01'), Synset('rebroadcast.n.01'), Synset('simulcast.n.01'), Synset('telecast.n.01'), Synset('air_mail.n.01'), Synset('airmail.n.01'), Synset('bulk_mail.n.01'), Synset('express.n.01'), Synset('first_class.n.02'), Synset('parcel_post.n.01'), Synset('registered_mail.n.01'), Synset('special_delivery.n.01'), Synset('surface_mail.n.01'), Synset('third-class_mail.n.01'), Synset('cable.n.01'), Synset('letter_telegram.n.01'), Synset('night_letter.n.01'), Synset('radio_news.n.01'), Synset('sportscast.n.01'), Synset('pony_express.n.01'), Synset('correspondence.n.01'), Synset('junk_mail.n.01')]"
Synset('replay.n.01'),"[Synset('replay.n.01'), Synset('replay.n.02'), Synset('play_back.v.01')]",[],[],[Synset('repeat.n.01')],"[Synset('repeat.n.01'), Synset('periodic_event.n.01')]","[Synset('repeat.n.01'), Synset('periodic_event.n.01'), Synset('happening.n.01')]",[],[],[]
Synset('data.n.01'),"[Synset('data.n.01'), Synset('datum.n.01')]",[],[],[Synset('collection.n.01')],"[Synset('collection.n.01'), Synset('group.n.01')]","[Synset('collection.n.01'), Synset('group.n.01'), Synset('abstraction.n.06')]",[Synset('accounting_data.n.01')],"[Synset('accounting_data.n.01'), Synset('metadata.n.01'), Synset('raw_data.n.01')]","[Synset('accounting_data.n.01'), Synset('metadata.n.01'), Synset('raw_data.n.01')]"
