term,synonyms,meronyms,holonyms,hypernyms [L1],hypernyms [L2],hypernyms [L3],hyponyms [L1],hyponyms [L2],hyponyms [L3]
Synset('jamming.n.01'),"[Synset('jamming.n.01'), Synset('throng.v.01'), Synset('jam.v.02')]",[],[],[Synset('electronic_countermeasures.n.01')],"[Synset('electronic_countermeasures.n.01'), Synset('electronic_warfare.n.01')]","[Synset('electronic_countermeasures.n.01'), Synset('electronic_warfare.n.01'), Synset('military_action.n.01')]",[Synset('barrage_jamming.n.01')],"[Synset('barrage_jamming.n.01'), Synset('spot_jamming.n.01')]","[Synset('barrage_jamming.n.01'), Synset('spot_jamming.n.01')]"
Synset('jamming.n.01'),"[Synset('jamming.n.01'), Synset('throng.v.01'), Synset('jam.v.02')]",[],[],[Synset('electronic_countermeasures.n.01')],"[Synset('electronic_countermeasures.n.01'), Synset('electronic_warfare.n.01')]","[Synset('electronic_countermeasures.n.01'), Synset('electronic_warfare.n.01'), Synset('military_action.n.01')]",[Synset('barrage_jamming.n.01')],"[Synset('barrage_jamming.n.01'), Synset('spot_jamming.n.01')]","[Synset('barrage_jamming.n.01'), Synset('spot_jamming.n.01')]"
Synset('cloning.n.01'),"[Synset('cloning.n.01'), Synset('clone.v.01')]",[],[],[Synset('biological_research.n.01')],"[Synset('biological_research.n.01'), Synset('scientific_research.n.01')]","[Synset('biological_research.n.01'), Synset('scientific_research.n.01'), Synset('research.n.01')]",[Synset('reproductive_cloning.n.01')],"[Synset('reproductive_cloning.n.01'), Synset('therapeutic_cloning.n.01'), Synset('human_reproductive_cloning.n.01')]","[Synset('reproductive_cloning.n.01'), Synset('therapeutic_cloning.n.01'), Synset('human_reproductive_cloning.n.01')]"
