term,synonyms,meronyms,holonyms,hypernyms [L1],hypernyms [L2],hypernyms [L3],hyponyms [L1],hyponyms [L2],hyponyms [L3]
Synset('spying.n.01'),"[Synset('spying.n.01'), Synset('spying.n.02'), Synset('detection.n.02')]",[],[],[Synset('watch.n.03')],"[Synset('watch.n.03'), Synset('surveillance.n.01')]","[Synset('watch.n.03'), Synset('surveillance.n.01'), Synset('police_work.n.01')]",[],[],[]
Synset('trailing.n.01'),"[Synset('trailing.n.01'), Synset('track.v.01'), Synset('track.v.02')]",[],[],[Synset('pursuit.n.01')],"[Synset('pursuit.n.01'), Synset('motion.n.06')]","[Synset('pursuit.n.01'), Synset('motion.n.06'), Synset('change.n.03')]",[],[],[]
Synset('driver.n.01'),"[Synset('driver.n.01'), Synset('driver.n.02'), Synset('driver.n.03')]",[],[],[Synset('operator.n.02')],"[Synset('operator.n.02'), Synset('causal_agent.n.01')]","[Synset('operator.n.02'), Synset('causal_agent.n.01'), Synset('physical_entity.n.01')]",[Synset('busman.n.01')],"[Synset('busman.n.01'), Synset('chauffeur.n.01'), Synset('designated_driver.n.01'), Synset('honker.n.01'), Synset('kerb_crawler.n.01'), Synset('motorist.n.01'), Synset('owner-driver.n.01'), Synset('racer.n.01'), Synset('road_hog.n.01'), Synset('speeder.n.01'), Synset('tailgater.n.01'), Synset('taxidriver.n.01'), Synset('teamster.n.02'), Synset('test_driver.n.01'), Synset('chauffeuse.n.01'), Synset('finisher.n.02')]","[Synset('busman.n.01'), Synset('chauffeur.n.01'), Synset('designated_driver.n.01'), Synset('honker.n.01'), Synset('kerb_crawler.n.01'), Synset('motorist.n.01'), Synset('owner-driver.n.01'), Synset('racer.n.01'), Synset('road_hog.n.01'), Synset('speeder.n.01'), Synset('tailgater.n.01'), Synset('taxidriver.n.01'), Synset('teamster.n.02'), Synset('test_driver.n.01'), Synset('chauffeuse.n.01'), Synset('finisher.n.02')]"
Synset('communication.n.01'),"[Synset('communication.n.01'), Synset('communication.n.02'), Synset('communication.n.03')]",[],[],[Synset('act.n.02')],"[Synset('act.n.02'), Synset('event.n.01')]","[Synset('act.n.02'), Synset('event.n.01'), Synset('psychological_feature.n.01')]",[Synset('channel.n.05')],"[Synset('channel.n.05'), Synset('contact.n.08'), Synset('discussion.n.01'), Synset('dissuasion.n.02'), Synset('dramaturgy.n.01'), Synset('examination.n.02'), Synset('exhortation.n.01'), Synset('expostulation.n.01'), Synset('expression.n.03'), Synset('intercommunication.n.01'), Synset('mail.n.02'), Synset('medium.n.03'), Synset('persuasion.n.01'), Synset('traffic.n.03'), Synset('transmission.n.02'), Synset('back_channel.n.01'), Synset('lens.n.03'), Synset('liaison.n.02'), Synset('spiel.n.01'), Synset('consideration.n.03'), Synset('detail.n.03'), Synset('dilation.n.01'), Synset('expansion.n.03'), Synset('talk.n.02'), Synset('stage.n.04'), Synset('bar_examination.n.01'), Synset('comprehensive_examination.n.01'), Synset('entrance_examination.n.01'), Synset('final_examination.n.01'), Synset('litmus_test.n.02'), Synset('midterm_examination.n.01'), Synset('oral.n.01'), Synset('preliminary_examination.n.01'), Synset('quiz.n.01'), Synset('test_paper.n.01'), Synset('tripos.n.01'), Synset('articulation.n.03'), Synset('cold_turkey.n.01'), Synset('congratulation.n.02'), Synset('intercourse.n.01'), Synset('airmail.n.02'), Synset('rural_free_delivery.n.01'), Synset('snail_mail.n.01'), Synset('air.n.08'), Synset('ether.n.03'), Synset('arm-twisting.n.01'), Synset('electioneering.n.01'), Synset('exhortation.n.02'), Synset('line.n.27'), Synset('proselytism.n.01'), Synset('sloganeering.n.01'), Synset('suggestion.n.04'), Synset('weapon.n.02'), Synset('channel.n.01'), Synset('channels.n.01'), Synset('conveyance.n.02'), Synset('dissemination.n.01'), Synset('electronic_communication.n.01'), Synset('fiber_optics.n.01'), Synset('interrogation.n.02'), Synset('medium.n.10'), Synset('modulation.n.02'), Synset('multimedia.n.01'), Synset('uplink.n.01')]","[Synset('channel.n.05'), Synset('contact.n.08'), Synset('discussion.n.01'), Synset('dissuasion.n.02'), Synset('dramaturgy.n.01'), Synset('examination.n.02'), Synset('exhortation.n.01'), Synset('expostulation.n.01'), Synset('expression.n.03'), Synset('intercommunication.n.01'), Synset('mail.n.02'), Synset('medium.n.03'), Synset('persuasion.n.01'), Synset('traffic.n.03'), Synset('transmission.n.02'), Synset('back_channel.n.01'), Synset('lens.n.03'), Synset('liaison.n.02'), Synset('spiel.n.01'), Synset('consideration.n.03'), Synset('detail.n.03'), Synset('dilation.n.01'), Synset('expansion.n.03'), Synset('talk.n.02'), Synset('stage.n.04'), Synset('bar_examination.n.01'), Synset('comprehensive_examination.n.01'), Synset('entrance_examination.n.01'), Synset('final_examination.n.01'), Synset('litmus_test.n.02'), Synset('midterm_examination.n.01'), Synset('oral.n.01'), Synset('preliminary_examination.n.01'), Synset('quiz.n.01'), Synset('test_paper.n.01'), Synset('tripos.n.01'), Synset('articulation.n.03'), Synset('cold_turkey.n.01'), Synset('congratulation.n.02'), Synset('intercourse.n.01'), Synset('airmail.n.02'), Synset('rural_free_delivery.n.01'), Synset('snail_mail.n.01'), Synset('air.n.08'), Synset('ether.n.03'), Synset('arm-twisting.n.01'), Synset('electioneering.n.01'), Synset('exhortation.n.02'), Synset('line.n.27'), Synset('proselytism.n.01'), Synset('sloganeering.n.01'), Synset('suggestion.n.04'), Synset('weapon.n.02'), Synset('channel.n.01'), Synset('channels.n.01'), Synset('conveyance.n.02'), Synset('dissemination.n.01'), Synset('electronic_communication.n.01'), Synset('fiber_optics.n.01'), Synset('interrogation.n.02'), Synset('medium.n.10'), Synset('modulation.n.02'), Synset('multimedia.n.01'), Synset('uplink.n.01'), Synset('reconsideration.n.01'), Synset('embellishment.n.01'), Synset('expatiation.n.01'), Synset('pop_quiz.n.01'), Synset('communion.n.02'), Synset('pep_talk.n.01'), Synset('giving.n.02'), Synset('circulation.n.01'), Synset('propagation.n.01'), Synset('digital_communication.n.01'), Synset('electronic_mail.n.01'), Synset('messaging.n.01'), Synset('prompt.n.02'), Synset('broadcast_medium.n.01'), Synset('amplitude_modulation.n.01'), Synset('frequency_modulation.n.01'), Synset('phase_modulation.n.01'), Synset('pulse_modulation.n.01'), Synset('hypermedia.n.01')]"
Synset('listen_in.v.02'),[Synset('listen_in.v.02')],[],[],[Synset('listen.v.01')],"[Synset('listen.v.01'), Synset('perceive.v.01')]","[Synset('listen.v.01'), Synset('perceive.v.01')]",[Synset('wiretap.v.01')],[Synset('wiretap.v.01')],[Synset('wiretap.v.01')]
Synset('vehicle.n.01'),"[Synset('vehicle.n.01'), Synset('vehicle.n.02'), Synset('vehicle.n.03')]",[Synset('splashboard.n.02')],[],[Synset('conveyance.n.03')],"[Synset('conveyance.n.03'), Synset('instrumentality.n.03')]","[Synset('conveyance.n.03'), Synset('instrumentality.n.03'), Synset('artifact.n.01')]",[Synset('bumper_car.n.01')],"[Synset('bumper_car.n.01'), Synset('craft.n.02'), Synset('military_vehicle.n.01'), Synset('rocket.n.01'), Synset('skibob.n.01'), Synset('sled.n.01'), Synset('steamroller.n.02'), Synset('wheeled_vehicle.n.01'), Synset('aircraft.n.01'), Synset('hovercraft.n.01'), Synset('landing_craft.n.01'), Synset('spacecraft.n.01'), Synset('vessel.n.02'), Synset('caisson.n.02'), Synset('half_track.n.01'), Synset('humvee.n.01'), Synset('personnel_carrier.n.01'), Synset('picket.n.04'), Synset('reconnaissance_vehicle.n.01'), Synset('tank.n.01'), Synset('technical.n.01'), Synset('troop_carrier.n.01'), Synset('warplane.n.01'), Synset('warship.n.01'), Synset('weapons_carrier.n.01'), Synset('missile.n.01'), Synset('multistage_rocket.n.01'), Synset('test_rocket.n.01'), Synset('bobsled.n.01'), Synset('bobsled.n.02'), Synset('dogsled.n.01'), Synset('luge.n.01'), Synset('pung.n.01'), Synset('toboggan.n.01'), Synset('baby_buggy.n.01'), Synset('bicycle.n.01'), Synset('boneshaker.n.01'), Synset('car.n.02'), Synset('handcart.n.01'), Synset('horse-drawn_vehicle.n.01'), Synset('motor_scooter.n.01'), Synset('rolling_stock.n.01'), Synset('scooter.n.02'), Synset('self-propelled_vehicle.n.01'), Synset('skateboard.n.01'), Synset('trailer.n.04'), Synset('tricycle.n.01'), Synset('unicycle.n.01'), Synset('wagon.n.01'), Synset('wagon.n.04'), Synset('welcome_wagon.n.01')]","[Synset('bumper_car.n.01'), Synset('craft.n.02'), Synset('military_vehicle.n.01'), Synset('rocket.n.01'), Synset('skibob.n.01'), Synset('sled.n.01'), Synset('steamroller.n.02'), Synset('wheeled_vehicle.n.01'), Synset('aircraft.n.01'), Synset('hovercraft.n.01'), Synset('landing_craft.n.01'), Synset('spacecraft.n.01'), Synset('vessel.n.02'), Synset('caisson.n.02'), Synset('half_track.n.01'), Synset('humvee.n.01'), Synset('personnel_carrier.n.01'), Synset('picket.n.04'), Synset('reconnaissance_vehicle.n.01'), Synset('tank.n.01'), Synset('technical.n.01'), Synset('troop_carrier.n.01'), Synset('warplane.n.01'), Synset('warship.n.01'), Synset('weapons_carrier.n.01'), Synset('missile.n.01'), Synset('multistage_rocket.n.01'), Synset('test_rocket.n.01'), Synset('bobsled.n.01'), Synset('bobsled.n.02'), Synset('dogsled.n.01'), Synset('luge.n.01'), Synset('pung.n.01'), Synset('toboggan.n.01'), Synset('baby_buggy.n.01'), Synset('bicycle.n.01'), Synset('boneshaker.n.01'), Synset('car.n.02'), Synset('handcart.n.01'), Synset('horse-drawn_vehicle.n.01'), Synset('motor_scooter.n.01'), Synset('rolling_stock.n.01'), Synset('scooter.n.02'), Synset('self-propelled_vehicle.n.01'), Synset('skateboard.n.01'), Synset('trailer.n.04'), Synset('tricycle.n.01'), Synset('unicycle.n.01'), Synset('wagon.n.01'), Synset('wagon.n.04'), Synset('welcome_wagon.n.01'), Synset('bogy.n.01'), Synset('cruise_missile.n.01'), Synset('heavier-than-air_craft.n.01'), Synset('lighter-than-air_craft.n.01'), Synset('stealth_aircraft.n.01'), Synset('lander.n.02'), Synset('lunar_excursion_module.n.01'), Synset('space_capsule.n.01'), Synset('space_shuttle.n.01'), Synset('starship.n.01'), Synset('bareboat.n.01'), Synset('boat.n.01'), Synset('fishing_boat.n.01'), Synset('galley.n.01'), Synset('galley.n.02'), Synset('iceboat.n.02'), Synset('patrol_boat.n.01'), Synset('sailing_vessel.n.01'), Synset('ship.n.01'), Synset('shrimper.n.01'), Synset('weather_ship.n.01'), Synset('yacht.n.01'), Synset('picket_boat.n.01'), Synset('picket_ship.n.01'), Synset('panzer.n.01'), Synset('troopship.n.01'), Synset('bomber.n.01'), Synset('fighter.n.02'), Synset('reconnaissance_plane.n.01'), Synset('aircraft_carrier.n.01'), Synset('battleship.n.01'), Synset('capital_ship.n.01'), Synset('corvette.n.01'), Synset('cruiser.n.02'), Synset('destroyer.n.01'), Synset('destroyer_escort.n.01'), Synset('frigate.n.01'), Synset('frigate.n.02'), Synset('guard_ship.n.01'), Synset('ironclad.n.01'), Synset('man-of-war.n.01'), Synset('privateer.n.02'), Synset('sloop_of_war.n.01'), Synset('submersible.n.02'), Synset('surface_ship.n.01'), Synset('three-decker.n.03'), Synset('torpedo_boat.n.01'), Synset('air-to-air_missile.n.01'), Synset('air-to-ground_missile.n.01'), Synset('ballistic_missile.n.01'), Synset('guided_missile.n.01'), Synset('heat-seeking_missile.n.01'), Synset('sidewinder.n.02'), Synset('sounding_rocket.n.01'), Synset('bassinet.n.02'), Synset('bicycle-built-for-two.n.01'), Synset('mountain_bike.n.01'), Synset('ordinary.n.04'), Synset('push-bike.n.01'), Synset('safety_bicycle.n.01'), Synset('velocipede.n.01'), Synset('baggage_car.n.01'), Synset('cabin_car.n.01'), Synset('club_car.n.01'), Synset('freight_car.n.01'), Synset('guard's_van.n.01'), Synset('handcar.n.01'), Synset('mail_car.n.01'), Synset('passenger_car.n.01'), Synset('slip_coach.n.01'), Synset('tender.n.04'), Synset('van.n.03'), Synset('applecart.n.02'), Synset('barrow.n.03'), Synset('hand_truck.n.01'), Synset('laundry_cart.n.01'), Synset('serving_cart.n.01'), Synset('shopping_cart.n.01'), Synset('carriage.n.02'), Synset('chariot.n.02'), Synset('limber.n.01'), Synset('sulky.n.01'), Synset('armored_vehicle.n.01'), Synset('carrier.n.02'), Synset('forklift.n.01'), Synset('locomotive.n.01'), Synset('motor_vehicle.n.01'), Synset('recreational_vehicle.n.01'), Synset('streetcar.n.01'), Synset('tracked_vehicle.n.01'), Synset('tractor.n.01'), Synset('camper_trailer.n.01'), Synset('mobile_home.n.01'), Synset('pedicab.n.01'), Synset('bandwagon.n.02'), Synset('cart.n.01'), Synset('chuck_wagon.n.01'), Synset('covered_wagon.n.01'), Synset('ice_wagon.n.01'), Synset('lorry.n.01'), Synset('milk_wagon.n.01'), Synset('tramcar.n.01'), Synset('wain.n.03'), Synset('water_wagon.n.01')]"
Synset('component.n.01'),"[Synset('component.n.01'), Synset('part.n.01'), Synset('component.n.03')]",[],[],[Synset('part.n.09')],"[Synset('part.n.09'), Synset('concept.n.01')]","[Synset('part.n.09'), Synset('concept.n.01'), Synset('idea.n.01')]",[Synset('be-all_and_end-all.n.01')],"[Synset('be-all_and_end-all.n.01'), Synset('plot_element.n.01'), Synset('point.n.01'), Synset('mcguffin.n.01'), Synset('attractor.n.02'), Synset('intercept.n.01'), Synset('intersection.n.01')]","[Synset('be-all_and_end-all.n.01'), Synset('plot_element.n.01'), Synset('point.n.01'), Synset('mcguffin.n.01'), Synset('attractor.n.02'), Synset('intercept.n.01'), Synset('intersection.n.01'), Synset('strange_attractor.n.01'), Synset('metacenter.n.01'), Synset('vertex.n.01')]"
