term,synonyms,meronyms,holonyms,hypernyms [L1],hypernyms [L2],hypernyms [L3],hyponyms [L1],hyponyms [L2],hyponyms [L3]
Synset('car.n.01'),"[Synset('car.n.01'), Synset('car.n.02'), Synset('car.n.03')]",[Synset('accelerator.n.01')],[],[Synset('motor_vehicle.n.01')],"[Synset('motor_vehicle.n.01'), Synset('self-propelled_vehicle.n.01')]","[Synset('motor_vehicle.n.01'), Synset('self-propelled_vehicle.n.01'), Synset('wheeled_vehicle.n.01')]",[Synset('ambulance.n.01')],"[Synset('ambulance.n.01'), Synset('beach_wagon.n.01'), Synset('bus.n.04'), Synset('cab.n.03'), Synset('compact.n.03'), Synset('convertible.n.01'), Synset('coupe.n.01'), Synset('cruiser.n.01'), Synset('electric.n.01'), Synset('gas_guzzler.n.01'), Synset('hardtop.n.01'), Synset('hatchback.n.01'), Synset('horseless_carriage.n.01'), Synset('hot_rod.n.01'), Synset('jeep.n.01'), Synset('limousine.n.01'), Synset('loaner.n.02'), Synset('minicar.n.01'), Synset('minivan.n.01'), Synset('model_t.n.01'), Synset('pace_car.n.01'), Synset('racer.n.02'), Synset('roadster.n.01'), Synset('sedan.n.01'), Synset('sport_utility.n.01'), Synset('sports_car.n.01'), Synset('stanley_steamer.n.01'), Synset('stock_car.n.01'), Synset('subcompact.n.01'), Synset('touring_car.n.01'), Synset('used-car.n.01'), Synset('funny_wagon.n.01'), Synset('shooting_brake.n.01'), Synset('gypsy_cab.n.01'), Synset('minicab.n.01'), Synset('panda_car.n.01'), Synset('berlin.n.03'), Synset('minicab.n.01'), Synset('finisher.n.05'), Synset('stock_car.n.02'), Synset('brougham.n.02')]","[Synset('ambulance.n.01'), Synset('beach_wagon.n.01'), Synset('bus.n.04'), Synset('cab.n.03'), Synset('compact.n.03'), Synset('convertible.n.01'), Synset('coupe.n.01'), Synset('cruiser.n.01'), Synset('electric.n.01'), Synset('gas_guzzler.n.01'), Synset('hardtop.n.01'), Synset('hatchback.n.01'), Synset('horseless_carriage.n.01'), Synset('hot_rod.n.01'), Synset('jeep.n.01'), Synset('limousine.n.01'), Synset('loaner.n.02'), Synset('minicar.n.01'), Synset('minivan.n.01'), Synset('model_t.n.01'), Synset('pace_car.n.01'), Synset('racer.n.02'), Synset('roadster.n.01'), Synset('sedan.n.01'), Synset('sport_utility.n.01'), Synset('sports_car.n.01'), Synset('stanley_steamer.n.01'), Synset('stock_car.n.01'), Synset('subcompact.n.01'), Synset('touring_car.n.01'), Synset('used-car.n.01'), Synset('funny_wagon.n.01'), Synset('shooting_brake.n.01'), Synset('gypsy_cab.n.01'), Synset('minicab.n.01'), Synset('panda_car.n.01'), Synset('berlin.n.03'), Synset('minicab.n.01'), Synset('finisher.n.05'), Synset('stock_car.n.02'), Synset('brougham.n.02')]"
Synset('larceny.n.01'),[Synset('larceny.n.01')],[],[],[Synset('felony.n.01')],"[Synset('felony.n.01'), Synset('crime.n.01')]","[Synset('felony.n.01'), Synset('crime.n.01'), Synset('transgression.n.01')]",[Synset('biopiracy.n.01')],"[Synset('biopiracy.n.01'), Synset('breach_of_trust_with_fraudulent_intent.n.01'), Synset('embezzlement.n.01'), Synset('grand_larceny.n.01'), Synset('petit_larceny.n.01'), Synset('pilferage.n.01'), Synset('robbery.n.01'), Synset('rustling.n.01'), Synset('shoplifting.n.01'), Synset('skimming.n.03'), Synset('plunderage.n.01'), Synset('raid.n.02'), Synset('armed_robbery.n.01'), Synset('caper.n.03'), Synset('dacoity.n.01'), Synset('heist.n.01'), Synset('highjacking.n.01'), Synset('highway_robbery.n.02'), Synset('rolling.n.02')]","[Synset('biopiracy.n.01'), Synset('breach_of_trust_with_fraudulent_intent.n.01'), Synset('embezzlement.n.01'), Synset('grand_larceny.n.01'), Synset('petit_larceny.n.01'), Synset('pilferage.n.01'), Synset('robbery.n.01'), Synset('rustling.n.01'), Synset('shoplifting.n.01'), Synset('skimming.n.03'), Synset('plunderage.n.01'), Synset('raid.n.02'), Synset('armed_robbery.n.01'), Synset('caper.n.03'), Synset('dacoity.n.01'), Synset('heist.n.01'), Synset('highjacking.n.01'), Synset('highway_robbery.n.02'), Synset('rolling.n.02'), Synset('piracy.n.01')]"
Synset('identity.n.01'),"[Synset('identity.n.01'), Synset('identity.n.02'), Synset('identity.n.03')]",[],[],[Synset('personality.n.01')],"[Synset('personality.n.01'), Synset('attribute.n.02')]","[Synset('personality.n.01'), Synset('attribute.n.02'), Synset('abstraction.n.06')]",[Synset('gender_identity.n.01')],"[Synset('gender_identity.n.01'), Synset('identification.n.05'), Synset('personhood.n.01')]","[Synset('gender_identity.n.01'), Synset('identification.n.05'), Synset('personhood.n.01')]"
Synset('larceny.n.01'),[Synset('larceny.n.01')],[],[],[Synset('felony.n.01')],"[Synset('felony.n.01'), Synset('crime.n.01')]","[Synset('felony.n.01'), Synset('crime.n.01'), Synset('transgression.n.01')]",[Synset('biopiracy.n.01')],"[Synset('biopiracy.n.01'), Synset('breach_of_trust_with_fraudulent_intent.n.01'), Synset('embezzlement.n.01'), Synset('grand_larceny.n.01'), Synset('petit_larceny.n.01'), Synset('pilferage.n.01'), Synset('robbery.n.01'), Synset('rustling.n.01'), Synset('shoplifting.n.01'), Synset('skimming.n.03'), Synset('plunderage.n.01'), Synset('raid.n.02'), Synset('armed_robbery.n.01'), Synset('caper.n.03'), Synset('dacoity.n.01'), Synset('heist.n.01'), Synset('highjacking.n.01'), Synset('highway_robbery.n.02'), Synset('rolling.n.02')]","[Synset('biopiracy.n.01'), Synset('breach_of_trust_with_fraudulent_intent.n.01'), Synset('embezzlement.n.01'), Synset('grand_larceny.n.01'), Synset('petit_larceny.n.01'), Synset('pilferage.n.01'), Synset('robbery.n.01'), Synset('rustling.n.01'), Synset('shoplifting.n.01'), Synset('skimming.n.03'), Synset('plunderage.n.01'), Synset('raid.n.02'), Synset('armed_robbery.n.01'), Synset('caper.n.03'), Synset('dacoity.n.01'), Synset('heist.n.01'), Synset('highjacking.n.01'), Synset('highway_robbery.n.02'), Synset('rolling.n.02'), Synset('piracy.n.01')]"
Synset('driver.n.01'),"[Synset('driver.n.01'), Synset('driver.n.02'), Synset('driver.n.03')]",[],[],[Synset('operator.n.02')],"[Synset('operator.n.02'), Synset('causal_agent.n.01')]","[Synset('operator.n.02'), Synset('causal_agent.n.01'), Synset('physical_entity.n.01')]",[Synset('busman.n.01')],"[Synset('busman.n.01'), Synset('chauffeur.n.01'), Synset('designated_driver.n.01'), Synset('honker.n.01'), Synset('kerb_crawler.n.01'), Synset('motorist.n.01'), Synset('owner-driver.n.01'), Synset('racer.n.01'), Synset('road_hog.n.01'), Synset('speeder.n.01'), Synset('tailgater.n.01'), Synset('taxidriver.n.01'), Synset('teamster.n.02'), Synset('test_driver.n.01'), Synset('chauffeuse.n.01'), Synset('finisher.n.02')]","[Synset('busman.n.01'), Synset('chauffeur.n.01'), Synset('designated_driver.n.01'), Synset('honker.n.01'), Synset('kerb_crawler.n.01'), Synset('motorist.n.01'), Synset('owner-driver.n.01'), Synset('racer.n.01'), Synset('road_hog.n.01'), Synset('speeder.n.01'), Synset('tailgater.n.01'), Synset('taxidriver.n.01'), Synset('teamster.n.02'), Synset('test_driver.n.01'), Synset('chauffeuse.n.01'), Synset('finisher.n.02')]"
